Cultivar	Wild
PHG50	Improved	
PHG71	Improved	
PHG72	Improved	
PHG83	Improved	
PHG84	Improved	
PHG86	Improved	
PHH93	Improved	
PHJ31	Improved	
PHJ33	Improved	
PHJ40	Improved	
PHJ70	Improved	
PHJ75	Improved	
PHK05	Improved	
PHK24	Improved	
PHK35	Improved	
PHK42	Improved	
PHK76	Improved	
PHK93	Improved	
PHM10	Improved	
PHM44	Improved	
PHM57	Improved	
PHM81	Improved	
PHN11	Improved	
PHN29	Improved	
PHN37	Improved	
PHN47	Improved	
PHN66	Improved	
PHN73	Improved	
PHN82	Improved	
PHNV9	Improved	
PHP02	Improved	
PHP55	Improved	
PHP60	Improved	
PHP76	Improved	
PHP85	Improved	
PHPR5	Improved	
PHR25	Improved	
PHR30	Improved	
PHR32	Improved	
PHR36	Improved	
PHR47	Improved	
PHR55	Improved	
PHR58	Improved	
PHR62	Improved	
PHR63	Improved	
PHT10	Improved	
PHT22	Improved	
PHT55	Improved	
PHT60	Improved	
PHT69	Improved	
PHT77	Improved	
PHV37	Improved	
PHV53	Improved	
PHV78	Improved	
PHW03	Improved	
PHW17	Improved	
PHW20	Improved	
PHW30	Improved	
PHW43	Improved	
PHW51	Improved	
PHW52	Improved	
PHW79	Improved	
PHWG5	Improved	
PHZ51	Improved	
PN2	Improved	
PN2-8	Improved	
Q1261	Improved	
Q381	Improved	
qi205	Improved	
qi318	Improved	
qi319	Improved	
qi35	Improved	
qi410	Improved	
qiong51	Improved	
R017	Improved	
R08	Improved	
R136	Improved	
R150	Improved	
R1656	Improved	
R25	Improved	
R31	Improved	
R98	Improved	
RIMMA0438.1	Improved	
RS710	Improved	
S001	Improved	
S22	Improved	
S311	Improved	
S37	Improved	
S53	Improved	
S7913	Improved	
S8324	Improved	
S8326	Improved	
SC11-1	Improved	
SC14	Improved	
SC-14	Improved	
SC24-1	Improved	
SC30-1	Improved	
SC9	Improved	
SC-9	Improved	
Seagu1117	Improved	
Sg1533	Improved	
SG17	Improved	
shan89	Improved	
shangyin110-1	Improved	
shen135	Improved	
shen137	Improved	
shen142	Improved	
shen5005	Improved	
shen977	Improved	
shuang741	Improved	
shuangM9B-1	Improved	
shuangtaiwu	Improved	
siyi	Improved	
song1145	Improved	
SS99	Improved	
su75	Improved	
suwan1611	Improved	
SW153	Improved	
SX-4-21	Improved	
SX-6-7	Improved	
SZ3	Improved	
T24	Improved	
tai184	Improved	
tangsipingtou	Improved	
TDD39103		Other
tian77	Improved	
tie7922	Improved	
TIL01		Parviglumis
TIL01-JD		Parviglumis
TIL02		Parviglumis
TIL03		Parviglumis
TIL04-TIP285		Parviglumis
TIL04-TIP454		Parviglumis
TIL05		Parviglumis
TIL06-TIP260		Parviglumis
TIL06-TIP496		Parviglumis
TIL07		Parviglumis
TIL08		Other
TIL09		Parviglumis
TIL10		Parviglumis
