ID	Species	Category
LM-2	Z. mays spp. Mays	Improved
Lo	Z. mays spp. Mays	Improved
Lo1067	Z. mays spp. Mays	Improved
Lo1125	Z. mays spp. Mays	Improved
longkang1	Z. mays spp. Mays	Improved
longkang11	Z. mays spp. Mays	Improved
Los-6	Z. mays spp. Mays	Improved
LP1	Z. mays spp. Mays	Improved
Lp215D	Z. mays spp. Mays	Improved
LP5	Z. mays spp. Mays	Improved
lu65	Z. mays spp. Mays	Improved
luosu3	Z. mays spp. Mays	Improved
luyuan133	Z. mays spp. Mays	Improved
luyuan92	Z. mays spp. Mays	Improved
lv28	Z. mays spp. Mays	Improved
lv45	Z. mays spp. Mays	Improved
Lx9801	Z. mays spp. Mays	Improved
M101	Z. mays spp. Mays	Improved
M1016	Z. mays spp. Mays	Improved
M131-5	Z. mays spp. Mays	Improved
M14	Z. mays spp. Mays	Improved
M162W	Z. mays spp. Mays	Improved
M22	Z. mays spp. Mays	Improved
M3	Z. mays spp. Mays	Improved
M3736	Z. mays spp. Mays	Improved
M37W	Z. mays spp. Mays	Improved
M9	Z. mays spp. Mays	Improved
Max	Z. mays spp. Mays	Improved
Maxa	Z. mays spp. Mays	Improved
MBNA	Z. mays spp. Mays	Improved
MBPM	Z. mays spp. Mays	Improved
MBSJ	Z. mays spp. Mays	Improved
MBST	Z. mays spp. Mays	Improved
MBUB	Z. mays spp. Mays	Improved
MDF-13D	Z. mays spp. Mays	Improved
mei68113	Z. mays spp. Mays	Improved
ML606	Z. mays spp. Mays	Improved
MM-1A	Z. mays spp. Mays	Improved
MM402A	Z. mays spp. Mays	Improved
MO113	Z. mays spp. Mays	Improved
Mo17	Z. mays spp. Mays	Improved
Mo17-chin	Z. mays spp. Mays	Improved
MO18W	Z. mays spp. Mays	Improved
Mo24W	Z. mays spp. Mays	Improved
MP	Z. mays spp. Mays	Improved
Ms71	Z. mays spp. Mays	Improved
mu4	Z. mays spp. Mays	Improved
mu6	Z. mays spp. Mays	Improved
N138	Z. mays spp. Mays	Improved
N192	Z. mays spp. Mays	Improved
N42	Z. mays spp. Mays	Improved
N6	Z. mays spp. Mays	Improved
N68a	Z. mays spp. Mays	Improved
nan21-3	Z. mays spp. Mays	Improved
NC268	Z. mays spp. Mays	Improved
NC350	Z. mays spp. Mays	Improved
NC358	Z. mays spp. Mays	Improved
